Target,D1,D2,D3,id_type
games/multimodal_referencegame/resources/tuna_images/44.png,games/multimodal_referencegame/resources/tuna_images/81.png,games/multimodal_referencegame/resources/tuna_images/63.png,games/multimodal_referencegame/resources/tuna_images/54.png,colour_type_size
games/multimodal_referencegame/resources/tuna_images/52.png,games/multimodal_referencegame/resources/tuna_images/4.png,games/multimodal_referencegame/resources/tuna_images/55.png,games/multimodal_referencegame/resources/tuna_images/57.png,orientation_type_size
games/multimodal_referencegame/resources/tuna_images/4.png,games/multimodal_referencegame/resources/tuna_images/52.png,games/multimodal_referencegame/resources/tuna_images/0.png,games/multimodal_referencegame/resources/tuna_images/69.png,colour_type_size
games/multimodal_referencegame/resources/tuna_images/96.png,games/multimodal_referencegame/resources/tuna_images/29.png,games/multimodal_referencegame/resources/tuna_images/74.png,games/multimodal_referencegame/resources/tuna_images/59.png,colour_type_size
games/multimodal_referencegame/resources/tuna_images/0.png,games/multimodal_referencegame/resources/tuna_images/70.png,games/multimodal_referencegame/resources/tuna_images/18.png,games/multimodal_referencegame/resources/tuna_images/1.png,colour_orientation_type
games/multimodal_referencegame/resources/tuna_images/15.png,games/multimodal_referencegame/resources/tuna_images/38.png,games/multimodal_referencegame/resources/tuna_images/91.png,games/multimodal_referencegame/resources/tuna_images/53.png,colour_orientation_type
games/multimodal_referencegame/resources/tuna_images/70.png,games/multimodal_referencegame/resources/tuna_images/83.png,games/multimodal_referencegame/resources/tuna_images/69.png,games/multimodal_referencegame/resources/tuna_images/0.png,colour_orientation_size
games/multimodal_referencegame/resources/3ds_images/8774.png,games/multimodal_referencegame/resources/3ds_images/8768.png,games/multimodal_referencegame/resources/3ds_images/9551.png,games/multimodal_referencegame/resources/3ds_images/8771.png,shape
games/multimodal_referencegame/resources/3ds_images/2157.png,games/multimodal_referencegame/resources/3ds_images/2211.png,games/multimodal_referencegame/resources/3ds_images/5152.png,games/multimodal_referencegame/resources/3ds_images/2283.png,object_hue
games/multimodal_referencegame/resources/3ds_images/4610.png,games/multimodal_referencegame/resources/3ds_images/4466.png,games/multimodal_referencegame/resources/3ds_images/7551.png,games/multimodal_referencegame/resources/3ds_images/4502.png,object_hue
games/multimodal_referencegame/resources/3ds_images/12800.png,games/multimodal_referencegame/resources/3ds_images/12799.png,games/multimodal_referencegame/resources/3ds_images/3698.png,games/multimodal_referencegame/resources/3ds_images/12798.png,orientation
games/multimodal_referencegame/resources/3ds_images/1550.png,games/multimodal_referencegame/resources/3ds_images/3332.png,games/multimodal_referencegame/resources/3ds_images/12242.png,games/multimodal_referencegame/resources/3ds_images/17470.png,floor_hue
games/multimodal_referencegame/resources/3ds_images/15752.png,games/multimodal_referencegame/resources/3ds_images/15806.png,games/multimodal_referencegame/resources/3ds_images/15698.png,games/multimodal_referencegame/resources/3ds_images/1852.png,object_hue
games/multimodal_referencegame/resources/3ds_images/10067.png,games/multimodal_referencegame/resources/3ds_images/2939.png,games/multimodal_referencegame/resources/3ds_images/3380.png,games/multimodal_referencegame/resources/3ds_images/1157.png,floor_hue
games/multimodal_referencegame/resources/3ds_images/7303.png,games/multimodal_referencegame/resources/3ds_images/7306.png,games/multimodal_referencegame/resources/3ds_images/7300.png,games/multimodal_referencegame/resources/3ds_images/3316.png,shape
games/multimodal_referencegame/resources/3ds_images/3435.png,games/multimodal_referencegame/resources/3ds_images/2175.png,games/multimodal_referencegame/resources/3ds_images/12927.png,games/multimodal_referencegame/resources/3ds_images/3075.png,wall_hue
games/multimodal_referencegame/resources/3ds_images/12905.png,games/multimodal_referencegame/resources/3ds_images/12995.png,games/multimodal_referencegame/resources/3ds_images/6825.png,games/multimodal_referencegame/resources/3ds_images/12941.png,object_hue
games/multimodal_referencegame/resources/3ds_images/16856.png,games/multimodal_referencegame/resources/3ds_images/16874.png,games/multimodal_referencegame/resources/3ds_images/13405.png,games/multimodal_referencegame/resources/3ds_images/16854.png,object_hue_orientation
games/multimodal_referencegame/resources/3ds_images/2157.png,games/multimodal_referencegame/resources/3ds_images/1815.png,games/multimodal_referencegame/resources/3ds_images/1195.png,games/multimodal_referencegame/resources/3ds_images/2159.png,wall_hue_orientation
games/multimodal_referencegame/resources/3ds_images/8093.png,games/multimodal_referencegame/resources/3ds_images/8273.png,games/multimodal_referencegame/resources/3ds_images/17317.png,games/multimodal_referencegame/resources/3ds_images/8091.png,wall_hue_orientation
games/multimodal_referencegame/resources/3ds_images/17761.png,games/multimodal_referencegame/resources/3ds_images/12397.png,games/multimodal_referencegame/resources/3ds_images/8791.png,games/multimodal_referencegame/resources/3ds_images/17760.png,floor_hue_orientation
games/multimodal_referencegame/resources/3ds_images/6528.png,games/multimodal_referencegame/resources/3ds_images/6564.png,games/multimodal_referencegame/resources/3ds_images/1852.png,games/multimodal_referencegame/resources/3ds_images/6519.png,object_hue_scale
games/multimodal_referencegame/resources/3ds_images/11500.png,games/multimodal_referencegame/resources/3ds_images/11491.png,games/multimodal_referencegame/resources/3ds_images/7287.png,games/multimodal_referencegame/resources/3ds_images/11501.png,scale_orientation
games/multimodal_referencegame/resources/3ds_images/1550.png,games/multimodal_referencegame/resources/3ds_images/1559.png,games/multimodal_referencegame/resources/3ds_images/1478.png,games/multimodal_referencegame/resources/3ds_images/14605.png,object_hue_scale
games/multimodal_referencegame/resources/3ds_images/12800.png,games/multimodal_referencegame/resources/3ds_images/5672.png,games/multimodal_referencegame/resources/3ds_images/12656.png,games/multimodal_referencegame/resources/3ds_images/13011.png,floor_hue_object_hue
games/multimodal_referencegame/resources/3ds_images/15301.png,games/multimodal_referencegame/resources/3ds_images/1027.png,games/multimodal_referencegame/resources/3ds_images/15310.png,games/multimodal_referencegame/resources/3ds_images/12261.png,floor_hue_scale
games/multimodal_referencegame/resources/3ds_images/5496.png,games/multimodal_referencegame/resources/3ds_images/7098.png,games/multimodal_referencegame/resources/3ds_images/5505.png,games/multimodal_referencegame/resources/3ds_images/1915.png,wall_hue_scale
games/multimodal_referencegame/resources/3ds_images/15997.png,games/multimodal_referencegame/resources/3ds_images/15961.png,games/multimodal_referencegame/resources/3ds_images/15994.png,games/multimodal_referencegame/resources/3ds_images/14755.png,wall_hue_object_hue_shape
games/multimodal_referencegame/resources/3ds_images/10713.png,games/multimodal_referencegame/resources/3ds_images/10803.png,games/multimodal_referencegame/resources/3ds_images/10716.png,games/multimodal_referencegame/resources/3ds_images/12135.png,wall_hue_object_hue_shape
games/multimodal_referencegame/resources/3ds_images/6132.png,games/multimodal_referencegame/resources/3ds_images/6123.png,games/multimodal_referencegame/resources/3ds_images/6135.png,games/multimodal_referencegame/resources/3ds_images/6134.png,scale_shape_orientation
games/multimodal_referencegame/resources/3ds_images/12985.png,games/multimodal_referencegame/resources/3ds_images/12931.png,games/multimodal_referencegame/resources/3ds_images/7639.png,games/multimodal_referencegame/resources/3ds_images/12994.png,floor_hue_object_hue_scale
games/multimodal_referencegame/resources/3ds_images/11783.png,games/multimodal_referencegame/resources/3ds_images/11855.png,games/multimodal_referencegame/resources/3ds_images/11945.png,games/multimodal_referencegame/resources/3ds_images/11782.png,wall_hue_object_hue_orientation
games/multimodal_referencegame/resources/3ds_images/1387.png,games/multimodal_referencegame/resources/3ds_images/1396.png,games/multimodal_referencegame/resources/3ds_images/1393.png,games/multimodal_referencegame/resources/3ds_images/1386.png,scale_shape_orientation
games/multimodal_referencegame/resources/3ds_images/13604.png,games/multimodal_referencegame/resources/3ds_images/13607.png,games/multimodal_referencegame/resources/3ds_images/15386.png,games/multimodal_referencegame/resources/3ds_images/13603.png,floor_hue_shape_orientation
games/multimodal_referencegame/resources/3ds_images/12084.png,games/multimodal_referencegame/resources/3ds_images/11940.png,games/multimodal_referencegame/resources/3ds_images/12093.png,games/multimodal_referencegame/resources/3ds_images/3174.png,floor_hue_object_hue_scale
games/multimodal_referencegame/resources/3ds_images/4667.png,games/multimodal_referencegame/resources/3ds_images/4664.png,games/multimodal_referencegame/resources/3ds_images/4665.png,games/multimodal_referencegame/resources/3ds_images/2885.png,floor_hue_shape_orientation
games/multimodal_referencegame/resources/3ds_images/4890.png,games/multimodal_referencegame/resources/3ds_images/4881.png,games/multimodal_referencegame/resources/3ds_images/4887.png,games/multimodal_referencegame/resources/3ds_images/4818.png,object_hue_scale_shape
